idatendimento;qtdadoleslentes;qtdadultos;qtdcriancas;qtdidosos;qtdacompanhantes;qtdturistas;ehacompanhante;estadoorigem;faixaetaria;tipohospedagem;tipotransporte;municipointeresse;observacao;paisorigem;sexo;tempoestadia;tipoatendimento;localatendimento;nacionalidade;cidade;deslocamento;informacao;motivoviagem;ano;mes
212749;;;;;;;Sim;Nao Preencheu                                                                                       ;Adulto                                                                                              ;nao-informou                                                                                        ;Aviao                                                                                               ;Nao Preencheu                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Italia                                                                                              ;Fem                                               ;Nao Informou                                                                                                                                                                                                                                                   ;Presencial                                                                                                                                                                                                                                                     ;CAT Aeroporto                                                                                                                                                                                                                                                  ;Internacional                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;2024;1
212750;;;;;;;Sim;Sao Paulo                                                                                           ;Adulto                                                                                              ;nao-informou                                                                                        ;Aviao                                                                                               ;Nao Preencheu                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Brasil                                                                                              ;Masc                                              ;Nao Informou                                                                                                                                                                                                                                                   ;Presencial                                                                                                                                                                                                                                                     ;CAT Aeroporto                                                                                                                                                                                                                                                  ;Nacional                                          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;2024;1
212751;;;;;;;Sim;Sao Paulo                                                                                           ;Adulto                                                                                              ;hotel                                                                                               ;Aviao                                                                                               ;Nao Preencheu                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Brasil                                                                                              ;Masc                                              ;5 a 6 dias                                                                                                                                                                                                                                                     ;Presencial                                                                                                                                                                                                                                                     ;CAT Aeroporto                                                                                                                                                                                                                                                  ;Nacional                                          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;2024;1
212752;;;;;;;Sim;Minas Gerais                                                                                        ;Adulto                                                                                              ;nao-informou                                                                                        ;Aviao                                                                                               ;Nao Preencheu                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Brasil                                                                                              ;Fem                                               ;Outros                                                                                                                                                                                                                                                         ;Presencial                                                                                                                                                                                                                                                     ;CAT Aeroporto                                                                                                                                                                                                                                                  ;Nacional                                          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;2024;1
212753;;;;;;;Sim;Minas Gerais                                                                                        ;Adulto                                                                                              ;nao-informou                                                                                        ;Aviao                                                                                               ;Nao Preencheu                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Brasil                                                                                              ;Fem                                               ;Outros                                                                                                                                                                                                                                                         ;Presencial                                                                                                                                                                                                                                                     ;CAT Aeroporto                                                                                                                                                                                                                                                  ;Nacional                                          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;2024;1
212754;;;;;;;Sim;Pernambuco                                                                                          ;Adulto                                                                                              ;Nao Preencheu                                                                                       ;Nao Preencheu                                                                                       ;Recife                                                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Brasil                                                                                              ;Fem                                               ;Nao Informou                                                                                                                                                                                                                                                   ;Presencial                                                                                                                                                                                                                                                     ;CAT Aeroporto                                                                                                                                                                                                                                                  ;Nacional                                          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;2024;1
212755;;;;;;;Sim;Minas Gerais                                                                                        ;Adulto                                                                                              ;hotel                                                                                               ;Aviao                                                                                               ;Nao Preencheu                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Brasil                                                                                              ;Fem                                               ;Outros                                                                                                                                                                                                                                                         ;Presencial                                                                                                                                                                                                                                                     ;CAT Aeroporto                                                                                                                                                                                                                                                  ;Nacional                                          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;2024;1
212756;;;;;;;Sim;Nao Preencheu                                                                                       ;Adulto                                                                                              ;Nao Preencheu                                                                                       ;Aviao                                                                                               ;Nao Preencheu                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;EstadosUnidos                                                                                       ;Masc                                              ;Nao Informou                                                                                                                                                                                                                                                   ;Presencial                                                                                                                                                                                                                                                     ;CAT Aeroporto                                                                                                                                                                                                                                                  ;Internacional                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;2024;1
